user_loc,fr_loc,scaled_sci
USA01001,ARG1,13
USA01001,ARG10,7
USA01001,ARG11,12
USA01001,ARG12,7
USA01001,ARG13,25
USA01001,ARG14,11
USA01001,ARG15,10
USA01001,ARG16,12
USA01001,ARG17,8
USA01001,ARG18,17
USA01001,ARG19,12
USA01001,ARG2,17
USA01001,ARG20,11
USA01001,ARG21,15
USA01001,ARG22,7
USA01001,ARG23,14
USA01001,ARG24,8
USA01001,ARG3,5
USA01001,ARG4,9
USA01001,ARG5,14
USA01001,ARG6,24
USA01001,ARG7,9
USA01001,ARG8,9
USA01001,ARG9,11
USA01001,MEX1,44
USA01001,MEX10,200
USA01001,MEX11,231
USA01001,MEX12,84
USA01001,MEX13,41
USA01001,MEX14,97
USA01001,MEX15,34
USA01001,MEX16,86
USA01001,MEX17,44
USA01001,MEX18,87
USA01001,MEX19,57
USA01001,MEX2,94
USA01001,MEX20,82
USA01001,MEX21,37
USA01001,MEX22,135
USA01001,MEX23,94
USA01001,MEX24,185
USA01001,MEX25,27
USA01001,MEX26,31
USA01001,MEX27,43
USA01001,MEX28,81
USA01001,MEX29,24
USA01001,MEX3,64
USA01001,MEX30,285
USA01001,MEX31,29
USA01001,MEX32,79
USA01001,MEX4,62
USA01001,MEX5,149
USA01001,MEX6,54
USA01001,MEX7,66
USA01001,MEX8,149
USA01001,MEX9,36
USA01003,ARG1,23
USA01003,ARG10,10
USA01003,ARG11,26
USA01003,ARG12,8
USA01003,ARG13,15
USA01003,ARG14,15
USA01003,ARG15,15
USA01003,ARG16,13
USA01003,ARG17,13
USA01003,ARG18,14
USA01003,ARG19,11
USA01003,ARG2,16
USA01003,ARG20,15
USA01003,ARG21,14
USA01003,ARG22,10
USA01003,ARG23,17
USA01003,ARG24,17
USA01003,ARG3,9
USA01003,ARG4,15
USA01003,ARG5,15
USA01003,ARG6,36
USA01003,ARG7,14
USA01003,ARG8,13
USA01003,ARG9,13
USA01003,MEX1,91
USA01003,MEX10,270
USA01003,MEX11,234
USA01003,MEX12,133
USA01003,MEX13,249
USA01003,MEX14,128
USA01003,MEX15,69
USA01003,MEX16,770
USA01003,MEX17,69
USA01003,MEX18,200
USA01003,MEX19,135
USA01003,MEX2,125
USA01003,MEX20,165
USA01003,MEX21,96
USA01003,MEX22,372
USA01003,MEX23,168
USA01003,MEX24,579
USA01003,MEX25,84
USA01003,MEX26,314
USA01003,MEX27,97
USA01003,MEX28,295
USA01003,MEX29,51
USA01003,MEX3,117
USA01003,MEX30,209
USA01003,MEX31,46
USA01003,MEX32,239
USA01003,MEX4,106
USA01003,MEX5,319
USA01003,MEX6,111
USA01003,MEX7,130
USA01003,MEX8,99
USA01003,MEX9,54
USA01005,ARG1,15
USA01005,ARG10,15
USA01005,ARG11,10
USA01005,ARG12,15
USA01005,ARG13,17
USA01005,ARG14,22
USA01005,ARG15,9
USA01005,ARG16,10
USA01005,ARG17,17
USA01005,ARG18,12
USA01005,ARG19,8
USA01005,ARG2,11
USA01005,ARG20,10
USA01005,ARG21,13
USA01005,ARG22,20
USA01005,ARG23,7
USA01005,ARG24,14
USA01005,ARG3,15
USA01005,ARG4,20
USA01005,ARG5,15
USA01005,ARG6,15
USA01005,ARG7,11
